Subject,Resort,Income,HouseSize,Income2,SES2,Split,Beer,,
1,0,2,3,25000,14433.75673,0,10.00,,
2,1,3,3,35000,20207.25942,0,2.50,,
3,0,10,5,125000,55901.69944,1,3.00,,
4,1,0,1,5000,5000,0,5.00,,
5,0,5,3,55000,31754.26481,0,4.00,,
6,1,3,3,35000,20207.25942,0,5.00,,
7,0,2,1,25000,25000,0,4.00,,
8,1,0,4,5000,2500,0,5.00,,
9,0,3,2,35000,24748.73734,0,3.50,,
11,0,10,4,125000,62500,1,8.00,,
12,1,5,5,55000,24596.74775,0,2.00,,
13,0,3,1,35000,35000,1,3.00,,
14,1,7,3,75000,43301.27019,1,5.00,,
15,0,9,4,95000,47500,1,5.00,,
17,0,10,1,125000,125000,1,4.00,,
18,1,5,2,55000,38890.87297,1,10.00,,
19,0,3,7,35000,13228.75656,0,2.00,,
20,1,4,3,45000,25980.76211,0,5.00,,
21,0,6,2,65000,45961.94078,1,5.00,,
22,1,1,1,15000,15000,0,6.50,,
23,0,3,1,35000,35000,1,5.00,,
24,1,4,1,45000,45000,1,20.00,,
26,1,4,5,45000,20124.6118,0,4.50,,
27,0,5,2,55000,38890.87297,1,3.00,,
28,1,3,1,35000,35000,1,7.00,,
29,0,3,4,35000,17500,0,4.00,,
30,1,11,6,150000,61237.24357,1,5.00,,
31,0,2,4,25000,12500,0,4.00,,
32,1,7,3,75000,43301.27019,1,5.00,,
33,0,5,4,55000,27500,0,10.00,,
34,1,2,4,25000,12500,0,7.00,,
35,0,0,1,5000,5000,0,2.50,,
36,1,6,4,65000,32500,1,10.00,,
37,0,10,5,125000,55901.69944,1,4.00,,
38,1,8,4,85000,42500,1,3.00,,
39,0,8,3,85000,49074.77288,1,5.00,,
40,1,9,6,95000,38783.58759,1,7.00,,
41,0,3,1,35000,35000,1,4.00,,
42,1,2,1,25000,25000,0,8.00,,
43,0,10,3,125000,72168.78365,1,5.00,,
44,1,10,2,125000,88388.34765,1,7.00,,
45,0,1,2,15000,10606.60172,0,10.00,,
46,1,4,3,45000,25980.76211,0,2.00,,
47,0,7,3,75000,43301.27019,1,5.00,,
48,1,9,2,95000,67175.14421,1,5.00,,
49,0,0,1,5000,5000,0,10.00,,
50,1,4,2,45000,31819.80515,0,10.00,,
51,0,3,2,35000,24748.73734,0,5.00,,
52,1,11,6,150000,61237.24357,1,8.00,,
53,0,4,2,45000,31819.80515,0,5.00,,
54,1,5,2,55000,38890.87297,1,10.00,,
55,0,2,1,25000,25000,0,2.00,,
56,1,5,2,55000,38890.87297,1,10.00,,
57,0,0,3,5000,2886.751346,0,5.00,,
58,1,6,11,65000,19598.2374,0,2.50,,
59,0,3,2,35000,24748.73734,0,6.00,,
60,1,10,4,125000,62500,1,3.00,,
61,0,10,2,125000,88388.34765,1,5.00,,
62,1,9,1,95000,95000,1,5.00,,
63,0,4,2,45000,31819.80515,0,3.00,,
64,1,2,3,25000,14433.75673,0,6.00,,
65,0,0,3,5000,2886.751346,0,2.00,,
67,0,4,2,45000,31819.80515,0,4.00,,
68,1,10,6,125000,51031.03631,1,8.00,,
69,0,2,4,25000,12500,0,3.00,,
70,1,6,2,65000,45961.94078,1,8.00,,
71,0,3,4,35000,17500,0,8.00,,
72,1,7,3,75000,43301.27019,1,5.00,,
73,0,2,2,25000,17677.66953,0,6.00,,
74,1,8,4,85000,42500,1,10.00,,
75,0,5,3,55000,31754.26481,0,5.00,,
77,0,4,3,45000,25980.76211,0,7.00,,
