subject,resort,income,house,edu,inc,ses,split,pay,,,,,,,,,
64,0,2,2,4,25000,17677.66953,0,0,,,,,,,,,
77,1,1,1,4,15000,15000,0,0,,,,,,,,,
367,1,1,2,4,15000,10606.60172,0,0,,,,,,,,,
380,1,1,4,3,15000,7500,0,0,,,,,,,,,
567,1,0,2,2,5000,3535.533906,0,0.01,,,,,,,,,
116,0,0,1,4,5000,5000,0,1,,,,,,,,,
568,0,2,2,2,25000,17677.66953,0,1,,,,,,,,,
109,1,5,3,3,55000,31754.26481,1,1.5,,,,,,,,,
44,0,3,2,2,35000,24748.73734,0,2,,,,,,,,,
61,1,1,2,4,15000,10606.60172,0,2,,,,,,,,,
68,0,8,3,2,85000,49074.77288,1,2,,,,,,,,,
125,1,7,5,4,75000,33541.01966,1,2,,,,,,,,,
163,0,6,3,2,65000,37527.7675,1,2,,,,,,,,,
230,0,8,2,4,85000,60104.0764,1,2,,,,,,,,,
231,1,1,1,2,15000,15000,0,2,,,,,,,,,
248,0,2,5,2,25000,11180.33989,0,2,,,,,,,,,
272,0,3,1,4,35000,35000,1,2,,,,,,,,,
275,0,1,3,3,15000,8660.254038,0,2,,,,,,,,,
320,0,5,3,4,55000,31754.26481,1,2,,,,,,,,,
341,0,1,1,4,15000,15000,0,2,,,,,,,,,
347,0,3,6,4,35000,14288.69017,0,2,,,,,,,,,
409,0,4,1,3,45000,45000,1,2,,,,,,,,,
417,0,6,4,3,65000,32500,1,2,,,,,,,,,
425,0,3,5,0,35000,15652.47584,0,2,,,,,,,,,
453,0,4,3,4,45000,25980.76211,0,2,,,,,,,,,
522,1,2,5,1,25000,11180.33989,0,2,,,,,,,,,
539,0,0,1,4,5000,5000,0,2,,,,,,,,,
581,0,2,1,4,25000,25000,0,2,,,,,,,,,
260,0,5,2,4,55000,38890.87297,1,2.25,,,,,,,,,
71,1,0,1,4,5000,5000,0,2.5,,,,,,,,,
101,1,3,3,4,35000,20207.25942,0,2.5,,,,,,,,,
108,0,2,8,1,25000,8838.834765,0,2.5,,,,,,,,,
191,1,3,7,1,35000,13228.75656,0,2.5,,,,,,,,,
211,0,9,2,2,95000,67175.14421,1,2.5,,,,,,,,,
229,1,1,5,2,15000,6708.203932,0,2.5,,,,,,,,,
332,1,1,3,2,15000,8660.254038,0,2.5,,,,,,,,,
395,0,8,3,2,85000,49074.77288,1,2.5,,,,,,,,,
155,0,2,4,1,25000,12500,0,2.75,,,,,,,,,
27,0,3,3,2,35000,20207.25942,0,3,,,,,,,,,
31,1,0,2,2,5000,3535.533906,0,3,,,,,,,,,
54,0,1,1,2,15000,15000,0,3,,,,,,,,,
70,0,2,4,3,25000,12500,0,3,,,,,,,,,
86,0,3,4,1,35000,17500,0,3,,,,,,,,,
114,1,1,3,4,15000,8660.254038,0,3,,,,,,,,,
117,1,2,3,1,25000,14433.75673,0,$3 ,,,,,,,,,
122,1,3,3,3,35000,20207.25942,0,3,,,,,,,,,
140,0,4,2,4,45000,31819.80515,1,3,,,,,,,,,
148,0,6,2,4,65000,45961.94078,1,3,,,,,,,,,
166,0,2,1,4,25000,25000,0,3,,,,,,,,,
168,0,10,2,6,125000,88388.34765,1,3,,,,,,,,,
184,0,6,4,2,65000,32500,1,3,,,,,,,,,
185,1,2,2,2,25000,17677.66953,0,3,,,,,,,,,
190,0,4,1,6,45000,45000,1,3,,,,,,,,,
198,0,8,2,2,85000,60104.0764,1,3,,,,,,,,,
204,0,3,2,2,35000,24748.73734,0,3,,,,,,,,,
208,0,6,3,4,65000,37527.7675,1,3,,,,,,,,,
214,0,4,4,2,45000,22500,0,3,,,,,,,,,
224,0,5,4,4,55000,27500,1,3,,,,,,,,,
