subject,part,inc,house,edu,inc2,ses,split,resort,wtp,weber,go,,,,,,,,
447,6mGGovzyvCU1XtuotVeQVg**,1,5,1,15000,6708.203932,0,0,0,1,0,,,,,,,,
653,6mGGovzyvCU50wFmS1s2cw**,6,5,4,65000,29068.88371,0,0,0,2,1,,,,,,,,
126,6mGGovzyvCUadAMioSPDsQ**,1,2,3,15000,10606.60172,0,0,0,2,0,,,,,,,,
584,6mGGovzyvCUAWdhMNZPmig**,3,4,4,35000,17500,0,1,0,2,0,,,,,,,,
813,6mGGovzyvCUBI8KPD3esBA**,3,3,4,35000,20207.25942,0,0,0,0,1,,,,,,,,
119,6mGGovzyvCUCh7C_2ulZ5Q**,9,3,2,95000,54848.27557,1,0,0,1,1,,,,,,,,
38,6mGGovzyvCUfKqzhjCnKaQ**,5,4,4,55000,27500,0,1,0,1,1,,,,,,,,
810,6mGGovzyvCUlu-lgAYyUpw**,9,1,6,95000,95000,1,1,0,0,0,,,,,,,,
79,6mGGovzyvCUnNrCEvwgzlg**,4,1,6,45000,45000,1,1,0,0,0,,,,,,,,
382,6mGGovzyvCUo3iqd5l-IUQ**,1,5,2,15000,6708.203932,0,0,0,2,0,,,,,,,,
683,6mGGovzyvCUqxvwNO21Vgg**,11,4,6,150000,75000,1,1,0,0,1,,,,,,,,
885,6mGGovzyvCURKcswhnfieg**,2,4,2,25000,12500,0,0,0,0,1,,,,,,,,
860,6mGGovzyvCUrl43ANsMasQ**,0,1,2,5000,5000,0,1,0,2,1,,,,,,,,
115,6mGGovzyvCUrmcvKnkZl7Q**,10,4,5,125000,62500,1,1,0,1,0,,,,,,,,
153,6mGGovzyvCUug6a2Vu8E5g**,11,5,4,150000,67082.03932,1,0,0,1,1,,,,,,,,
680,6mGGovzyvCUv66x5Fxmqng**,1,2,2,15000,10606.60172,0,0,0,0,0,,,,,,,,
722,6mGGovzyvCUVgW-ABbT8eA**,8,2,6,85000,60104.0764,1,0,0,0,1,,,,,,,,
904,6mGGovzyvCUwHanwnjJHSQ**,2,2,6,25000,17677.66953,0,0,0,1,1,,,,,,,,
186,6mGGovzyvCUY_CTBLsSvwQ**,3,7,1,35000,13228.75656,0,1,0,0,1,,,,,,,,
265,6mGGovzyvCUyZowZhcUoJw**,2,1,6,25000,25000,0,1,0,2,1,,,,,,,,
566,6mGGovzyvCUzB7ps19i0SA**,9,1,6,95000,95000,1,0,0,0,1,,,,,,,,
454,6mGGovzyvCV0KUJQGKZUWw**,2,6,1,25000,10206.20726,0,0,0,2,1,,,,,,,,
140,6mGGovzyvCV1bAwyA54Q5w**,0,1,3,5000,5000,0,1,0,2,0,,,,,,,,
614,6mGGovzyvCV5l_7VSywe2A**,5,1,6,55000,55000,1,1,0,2,1,,,,,,,,
944,6mGGovzyvCV7nZHcjekUzA**,4,2,1,45000,31819.80515,0,1,0,2,0,,,,,,,,
780,6mGGovzyvCV7yD5CRLE_xA**,10,4,4,125000,62500,1,1,0,1,0,,,,,,,,
947,6mGGovzyvCV8ZbIFeMRCWg**,6,2,3,65000,45961.94078,1,0,0,2,1,,,,,,,,
735,6mGGovzyvCVaVIkKunP-4A**,5,5,1,55000,24596.74775,0,0,0,1,1,,,,,,,,
627,6mGGovzyvCVf8wDbYrpzRg**,2,1,2,25000,25000,0,0,0,0,0,,,,,,,,
746,6mGGovzyvCVgFDuQEm2fwA**,3,3,0,35000,20207.25942,0,0,0,0,0,,,,,,,,
292,6mGGovzyvCVGQeUlhiylNQ**,9,2,2,95000,67175.14421,1,0,0,2,0,,,,,,,,
762,6mGGovzyvCVi_OZyNbnKPQ**,5,4,4,55000,27500,0,1,0,1,0,,,,,,,,
35,6mGGovzyvCVjytRk6uwAGg**,1,4,3,15000,7500,0,0,0,1,1,,,,,,,,
745,6mGGovzyvCVjYZ1wqUpJ6A**,4,2,1,45000,31819.80515,0,1,0,2,0,,,,,,,,
733,6mGGovzyvCVkx92SSRVdMw**,4,4,2,45000,22500,0,1,0,1,1,,,,,,,,
145,6mGGovzyvCV-Nj2pgyU2mg**,4,3,1,45000,25980.76211,0,1,0,2,0,,,,,,,,
928,6mGGovzyvCVSVgbC-XjAlQ**,7,2,1,75000,53033.00859,1,0,0,1,1,,,,,,,,
818,6mGGovzyvCVT2ymh_ez0Lw**,5,3,4,55000,31754.26481,0,1,0,2,0,,,,,,,,
588,6mGGovzyvCVTm4vUWDBknw**,3,3,3,35000,20207.25942,0,1,0,0,0,,,,,,,,
909,6mGGovzyvCVURgf5W6E2EQ**,5,3,2,55000,31754.26481,0,0,0,0,1,,,,,,,,
455,6mGGovzyvCVvrxGWczZ-og**,5,2,1,55000,38890.87297,1,1,0,0,0,,,,,,,,
738,6mGGovzyvCVWbBigLrZyXw**,5,2,2,55000,38890.87297,1,1,0,0,0,,,,,,,,
823,6mGGovzyvCVwiR0L69rgAA**,3,5,4,35000,15652.47584,0,1,0,1,1,,,,,,,,
262,6mGGovzyvCVWudsLWyVrDA**,0,1,3,5000,5000,0,0,0,2,1,,,,,,,,
577,6mGGovzyvCVXROubFirY8Q**,10,3,4,125000,72168.78365,1,1,0,2,0,,,,,,,,
333,6mGGovzyvCVyU8Zodni7ow**,0,2,1,5000,3535.533906,0,0,0,1,0,,,,,,,,
988,6mGGovzyvCVz-7KHnC_irQ**,4,1,4,45000,45000,1,0,0,2,1,,,,,,,,
578,6mGGovzyvCW_OhmtD4DCug**,4,1,3,45000,45000,1,1,0,2,1,,,,,,,,
306,6mGGovzyvCW00EsNgpBMXQ**,9,2,4,95000,67175.14421,1,1,0,1,1,,,,,,,,
769,6mGGovzyvCW3jyyWLxEX7g**,5,3,2,55000,31754.26481,0,1,0,1,1,,,,,,,,
619,6mGGovzyvCW7oqigmSSgqQ**,6,1,3,65000,65000,1,1,0,1,1,,,,,,,,
160,6mGGovzyvCW7qL0UYJKfQA**,7,3,4,75000,43301.27019,1,0,0,1,0,,,,,,,,
328,6mGGovzyvCW8Ps0swVdvAw**,4,1,6,45000,45000,1,0,0,1,1,,,,,,,,
141,6mGGovzyvCW9cUcQhl0wpQ**,9,5,3,95000,42485.29157,1,0,0,0,1,,,,,,,,
104,6mGGovzyvCWaz9B8KyqUfQ**,5,4,6,55000,27500,0,1,0,1,1,,,,,,,,
938,6mGGovzyvCWBRBgIJvzClw**,3,2,1,35000,24748.73734,0,1,0,2,0,,,,,,,,
624,6mGGovzyvCWJmX6_Xi4cHA**,6,2,4,65000,45961.94078,1,1,0,0,1,,,,,,,,
927,6mGGovzyvCWkiut0ptISWw**,4,4,2,45000,22500,0,0,0,1,0,,,,,,,,
682,6mGGovzyvCWlA9YOIW2bZQ**,1,2,2,15000,10606.60172,0,0,0,1,1,,,,,,,,
156,6mGGovzyvCWPPObBPIzfQQ**,3,5,2,35000,15652.47584,0,1,0,0,1,,,,,,,,
708,6mGGovzyvCWR_L02OypzKQ**,8,2,4,85000,60104.0764,1,1,0,1,1,,,,,,,,
235,6mGGovzyvCWSOsROSxz2Sw**,6,4,1,65000,32500,1,1,0,1,0,,,,,,,,
925,6mGGovzyvCWsZTHG7DbtYA**,4,3,2,45000,25980.76211,0,1,0,1,0,,,,,,,,
193,6mGGovzyvCWtqawUroIFgw**,5,2,4,55000,38890.87297,1,1,0,0,0,,,,,,,,
272,6mGGovzyvCWUdfeTOZwASA**,1,2,3,15000,10606.60172,0,0,0,0,0,,,,,,,,
431,6mGGovzyvCWvjUbIGmoh3g**,4,1,4,45000,45000,1,1,0,0,1,,,,,,,,
20,6mGGovzyvCWXPlfzigAQDw**,10,2,6,125000,88388.34765,1,1,0,1,0,,,,,,,,
345,6mGGovzyvCWyIr9nd_5S8w**,1,2,0,15000,10606.60172,0,0,0,1,1,,,,,,,,
540,6mGGovzyvCX2FlPzUUDKwg**,0,1,0,5000,5000,0,1,0,0,0,,,,,,,,
867,6mGGovzyvCX6Teb-DYzsUg**,10,2,6,125000,88388.34765,1,0,0,1,0,,,,,,,,
765,6mGGovzyvCX7SHWWHsNTRQ**,10,5,5,125000,55901.69944,1,0,0,1,1,,,,,,,,
527,6mGGovzyvCX8tvb1X5_2vg**,7,4,4,75000,37500,1,0,0,2,1,,,,,,,,
115,6mGGovzyvCXGL10sj0FeQA**,0,4,2,5000,2500,0,1,0,2,1,,,,,,,,
783,6mGGovzyvCXhixZI937OOg**,10,2,4,125000,88388.34765,1,0,0,0,0,,,,,,,,
257,6mGGovzyvCXmL6zzHWX9sQ**,0,1,2,5000,5000,0,0,0,2,0,,,,,,,,
794,6mGGovzyvCXqLJSG7StH2A**,4,5,1,45000,20124.6118,0,1,0,2,1,,,,,,,,
635,6mGGovzyvCXQPlpPJgSlFg**,10,5,1,125000,55901.69944,1,1,0,0,0,,,,,,,,
614,6mGGovzyvCXUfQ8YZARyuw**,11,1,6,150000,150000,1,0,0,0,1,,,,,,,,
361,6mGGovzyvCXUKjW1EX34Yg**,0,1,3,5000,5000,0,1,0,2,1,,,,,,,,
102,6mGGovzyvCXvR1ZUfYOjAw**,0,2,3,5000,3535.533906,0,1,0,1,0,,,,,,,,
513,6mGGovzyvCXy7iBlQLxVFA**,1,1,1,15000,15000,0,0,0,0,0,,,,,,,,
810,6mGGovzyvCUU1Styqya_dw**,2,1,3,25000,25000,0,1,0.01,1,0,,,,,,,,
783,6mGGovzyvCWW8-zo47ahQw**,2,4,1,25000,12500,0,0,0.01,1,1,,,,,,,,
300,6mGGovzyvCUtiSqGOcrkBw**,7,3,3,75000,43301.27019,1,1,0.5,1,1,,,,,,,,
